date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
23-05-2015,0,562,3563310,0.470987,28017,15134.76528,30.30616633
24-05-2015,0,529,3661790,0.479603,12799,14342.99295,24.23149456
25-05-2015,0,553,3736440,0.463606,28042,14615.27393,29.63814536
26-05-2015,0,532,3619900,0.446883,32411,14241.27668,32.0137037
27-05-2015,0,483,3505500,0.421971,44220,14658.79278,26.08171944
28-05-2015,0,533,3337830,0.443637,29630,14374.897,30.14524645
29-05-2015,0,506,3488920,0.439872,29580,14284.37844,33.95037646
30-05-2015,0,566,3469710,0.445107,16705,13978.94475,29.75147214
31-05-2015,0,553,3514770,0.450889,44096,14665.69009,35.1857377
01-06-2015,0,568,3561950,0.451619,21924,14498.73499,31.60351288
02-06-2015,0,465,3596230,0.455539,42022,13905.1203,24.56139237
03-06-2015,0,557,3600960,0.453476,20468,14650.77036,31.86127829
04-06-2015,0,592,3600680,0.476494,27086,14481.30908,29.12360354
05-06-2015,0,473,3788650,0.498892,33178,14079.11155,28.92162409
06-06-2015,0,598,4021480,0.526428,61552,14519.66562,32.29978364
07-06-2015,0,516,4201680,0.517933,60901,14898.94929,33.28664954
08-06-2015,0,619,4123340,0.542956,60437,13675.70871,40.10211155
09-06-2015,0,514,4352640,0.495991,84617,14260.96878,30.58623406
10-06-2015,0,459,3962800,0.479738,18563,13962.52621,29.42378234
11-06-2015,0,594,3851510,0.462852,39601,14101.18647,39.442177
12-06-2015,0,659,3718430,0.470966,37697,14030.52002,46.83039191
13-06-2015,0,507,3796760,0.489472,38193,14202.04633,35.17838299
14-06-2015,0,483,3941870,0.49497,25286,14354.08498,25.16581587
15-06-2015,0,541,4007810,0.508224,27100,14242.67594,31.48574821
16-06-2015,0,562,4095180,0.506086,47599,13672.37218,30.57914682
17-06-2015,0,497,4123450,0.50334,35110,14305.89565,25.86616303
